# step lid M_Sigma Con_maxDiv C2
34600 1 0.527396 7.24754e-12 5.69613e+17
34800 1 23.5572 7.24754e-12 5.60833e+17
35000 1 2.54499 7.24754e-12 5.53849e+17
35200 1 47.3392 7.24754e-12 5.6428e+17
35400 1 44.3244 7.24754e-12 5.79467e+17
35600 1 37.6219 7.24754e-12 5.95627e+17
35800 1 24.544 7.24754e-12 6.07631e+17
36000 1 51.3535 7.24754e-12 6.23144e+17
36200 1 40.4787 7.24754e-12 6.39824e+17
36400 1 9.63503 7.24754e-12 6.47204e+17
36600 1 15.5967 7.24754e-12 6.38143e+17
36800 1 25.4312 7.24754e-12 6.40227e+17
37000 1 49.3027 7.24754e-12 6.56985e+17
37200 1 51.5144 7.24754e-12 6.75231e+17
37400 1 49.4274 7.24754e-12 6.92112e+17
37600 1 42.7305 7.24754e-12 7.08966e+17
37800 1 56.4178 7.24754e-12 7.2601e+17
38000 1 66.3198 7.24754e-12 7.44045e+17
38200 1 62.3998 7.24754e-12 7.6282e+17
38400 1 54.8598 7.24754e-12 7.82055e+17
38600 1 50.1616 7.24754e-12 8.01156e+17
38800 1 48.8488 7.24754e-12 8.20126e+17
39000 1 47.1536 7.24754e-12 8.39003e+17
39200 1 47.475 7.24754e-12 8.58078e+17
39400 1 46.3253 7.24754e-12 8.7759e+17
39600 1 36.534 7.24754e-12 8.97415e+17
39800 1 12.9314 7.24754e-12 9.15757e+17
40000 1 13.0684 7.24754e-12 9.23669e+17
40200 1 27.6148 7.24754e-12 9.19324e+17
40400 1 40.8325 1.08713e-11 9.05944e+17
40600 1 38.7093 7.24754e-12 8.90051e+17
40800 1 17.9031 7.24754e-12 8.77253e+17
41000 1 5.20254 7.24754e-12 8.70775e+17
41200 1 38.5732 7.24754e-12 8.74994e+17
41400 1 55.8973 7.24754e-12 8.86675e+17
41600 1 65.723 7.24754e-12 9.04839e+17
41800 1 65.2065 7.24754e-12 9.25594e+17
42000 1 68.8215 7.24754e-12 9.48538e+17
42200 1 65.7691 7.24754e-12 9.72413e+17
42400 1 54.8704 1.08713e-11 9.96019e+17
42600 1 48.607 7.24754e-12 1.01966e+18
42800 1 37.2222 7.24754e-12 1.04319e+18
43000 1 16.1867 7.24754e-12 1.06497e+18
43200 1 1.80846 7.24754e-12 1.08074e+18
43400 1 12.7207 1.44951e-11 1.08421e+18
43600 1 19.7948 7.24754e-12 1.07535e+18
43800 1 6.53128 7.24754e-12 1.0614e+18
