# step lid M_Sigma Con_maxDiv C2
34600 1 50.1813 7.30438e-12 5.47347e+17
34800 1 10.2362 7.30438e-12 5.6009e+17
35000 1 7.23461 7.30438e-12 5.56242e+17
35200 1 47.0164 7.30438e-12 5.66782e+17
35400 1 5.14613 7.30438e-12 5.76702e+17
35600 1 15.863 7.30438e-12 5.79875e+17
35800 1 42.5808 7.30438e-12 5.9446e+17
36000 1 18.4754 7.30438e-12 5.9302e+17
36200 1 2.86919 7.30438e-12 5.91508e+17
36400 1 25.5634 7.30438e-12 6.02127e+17
36600 1 14.7499 7.30438e-12 5.98196e+17
36800 1 6.48642 7.30438e-12 6.05864e+17
37000 1 4.24425 7.30438e-12 6.09022e+17
37200 1 11.4252 7.30438e-12 6.01377e+17
37400 1 2.94227 7.30438e-12 6.02705e+17
37600 1 20.151 7.30438e-12 6.14052e+17
37800 1 16.8267 7.30438e-12 6.16414e+17
38000 1 5.2763 7.30438e-12 6.16061e+17
38200 1 8.39547 7.30438e-12 6.17096e+17
38400 1 37.6496 7.30438e-12 6.28334e+17
38600 1 52.5933 7.30438e-12 6.41517e+17
38800 1 59.6344 7.30438e-12 6.55742e+17
39000 1 58.0963 7.30438e-12 6.70334e+17
39200 1 59.7237 7.30438e-12 6.85125e+17
39400 1 63.0042 7.30438e-12 7.00442e+17
39600 1 44.4546 7.30438e-12 7.16926e+17
39800 1 26.5856 7.30438e-12 7.33452e+17
40000 1 16.3395 7.30438e-12 7.48296e+17
40200 1 10.0086 7.30438e-12 7.61184e+17
40400 1 16.7863 7.30438e-12 7.7297e+17
40600 1 15.6393 7.30438e-12 7.80707e+17
40800 1 4.7666 7.30438e-12 7.86215e+17
41000 1 8.5313 7.30438e-12 7.92783e+17
41200 1 25.8192 7.30438e-12 7.98411e+17
41400 1 55.7375 7.30438e-12 8.11693e+17
41600 1 54.7513 7.30438e-12 8.29573e+17
41800 1 32.4373 7.30438e-12 8.45772e+17
42000 1 13.1347 7.30438e-12 8.59089e+17
42200 1 1.2598 7.30438e-12 8.66104e+17
42400 1 28.806 7.30438e-12 8.7075e+17
42600 1 61.631 7.30438e-12 8.88156e+17
42800 1 47.4022 7.30438e-12 9.06579e+17
43000 1 27.8812 7.30438e-12 9.24121e+17
43200 1 9.12943 7.30438e-12 9.36294e+17
43400 1 4.67076 7.30438e-12 9.34259e+17
43600 1 49.987 7.30438e-12 9.45237e+17
43800 1 74.7158 7.30438e-12 9.64328e+17
44000 1 70.6317 7.30438e-12 9.84011e+17
44200 1 66.358 7.30438e-12 1.00439e+18
44400 1 68.1572 7.30438e-12 1.02619e+18
44600 1 67.1634 1.09566e-11 1.04955e+18
44800 1 59.9288 7.30438e-12 1.07306e+18
45000 1 53.6083 7.30438e-12 1.09694e+18
45200 1 46.8625 7.30438e-12 1.12076e+18
45400 1 42.3198 7.30438e-12 1.14479e+18
45600 1 28.6954 1.09566e-11 1.16848e+18
45800 1 12.5217 7.30438e-12 1.19135e+18
46000 1 6.94085 7.30438e-12 1.20925e+18
46200 1 6.99334 7.30438e-12 1.2207e+18
46400 1 12.188 7.30438e-12 1.22465e+18
46600 1 12.7497 7.30438e-12 1.22224e+18
46800 1 17.5534 7.30438e-12 1.2142e+18
47000 1 17.3506 7.30438e-12 1.20837e+18
47200 1 30.1152 7.30438e-12 1.19763e+18
47400 1 34.5452 7.30438e-12 1.18419e+18
47600 1 38.0974 7.30438e-12 1.16835e+18
47800 1 40.4121 7.30438e-12 1.15196e+18
48000 1 43.5826 7.30438e-12 1.13785e+18
48200 1 33.6555 7.30438e-12 1.12654e+18
48400 1 18.1951 7.30438e-12 1.11763e+18
48600 1 2.6557 7.30438e-12 1.10807e+18
48800 1 13.9309 7.30438e-12 1.10266e+18
49000 1 31.1046 7.30438e-12 1.10566e+18
49200 1 48.0138 7.30438e-12 1.11708e+18
49400 1 53.4456 7.30438e-12 1.13313e+18
49600 1 61.2871 7.30438e-12 1.15465e+18
49800 1 65.3433 7.30438e-12 1.17819e+18
50000 1 65.1019 7.30438e-12 1.20243e+18
50200 1 57.3418 7.30438e-12 1.22682e+18
50400 1 49.7163 7.30438e-12 1.25105e+18
50600 1 47.6848 1.09566e-11 1.27509e+18
50800 1 51.3065 7.30438e-12 1.29942e+18
51000 1 47.9758 7.30438e-12 1.32379e+18
51200 1 44.627 7.30438e-12 1.34826e+18
51400 1 47.0727 7.30438e-12 1.37218e+18
51600 1 56.1779 7.30438e-12 1.39483e+18
51800 1 58.7228 7.30438e-12 1.4187e+18
52000 1 51.6686 7.30438e-12 1.44435e+18
52200 1 40.485 1.09566e-11 1.47122e+18
52400 1 27.2681 1.46088e-11 1.49858e+18
52600 1 19.2233 7.30438e-12 1.52414e+18
52800 1 8.15392 7.30438e-12 1.54544e+18
53000 1 3.93704 7.30438e-12 1.55934e+18
53200 1 11.8955 7.30438e-12 1.5655e+18
53400 1 22.269 7.30438e-12 1.55755e+18
53600 1 20.3908 7.30438e-12 1.54344e+18
53800 1 11.1785 7.30438e-12 1.53366e+18
54000 1 2.11867 7.30438e-12 1.53179e+18
54200 1 20.6052 7.30438e-12 1.53794e+18
54400 1 38.9189 7.30438e-12 1.54819e+18
54600 1 51.3377 7.30438e-12 1.56112e+18
54800 1 57.576 7.30438e-12 1.57871e+18
55000 1 62.1594 1.09566e-11 1.60309e+18
55200 1 60.7462 7.30438e-12 1.63023e+18
55400 1 61.2883 7.30438e-12 1.66023e+18
55600 1 58.8316 7.30438e-12 1.69159e+18
55800 1 51.6277 7.30438e-12 1.72344e+18
56000 1 48.2569 1.09566e-11 1.75573e+18
56200 1 46.8256 1.09566e-11 1.78755e+18
56400 1 40.3987 1.09566e-11 1.81877e+18
56600 1 42.2694 7.30438e-12 1.84905e+18
56800 1 50.8144 7.30438e-12 1.87808e+18
57000 1 59.2262 7.30438e-12 1.9081e+18
57200 1 51.7779 7.30438e-12 1.93985e+18
57400 1 38.9903 1.46088e-11 1.97211e+18
57600 1 25.6448 7.30438e-12 2.00423e+18
57800 1 12.7216 1.46088e-11 2.03441e+18
58000 1 6.9005 7.30438e-12 2.05732e+18
58200 1 2.0664 7.30438e-12 2.06757e+18
58400 1 13.7072 1.46088e-11 2.06292e+18
58600 1 30.9128 1.09566e-11 2.04427e+18
58800 1 25.3466 7.30438e-12 2.02333e+18
59000 1 17.6775 7.30438e-12 2.0046e+18
59200 1 4.87158 7.30438e-12 1.9906e+18
59400 1 20.6867 1.09566e-11 1.98614e+18
59600 1 43.5707 7.30438e-12 1.99403e+18
59800 1 56.4554 1.09566e-11 2.01263e+18
60000 1 65.1844 7.30438e-12 2.04264e+18
60200 1 68.0124 1.46088e-11 2.07629e+18
60400 1 65.7027 1.46088e-11 2.11185e+18
60600 1 59.8079 1.46088e-11 2.14809e+18
60800 1 54.0339 1.46088e-11 2.18461e+18
61000 1 48.8988 1.46088e-11 2.22147e+18
61200 1 44.3227 1.46088e-11 2.2582e+18
61400 1 42.0303 1.46088e-11 2.29511e+18
61600 1 39.4946 1.46088e-11 2.332e+18
61800 1 29.7887 1.46088e-11 2.36846e+18
62000 1 21.9688 1.46088e-11 2.40162e+18
62200 1 11.7207 1.46088e-11 2.42609e+18
62400 1 3.37699 1.46088e-11 2.43536e+18
62600 1 6.33349 1.46088e-11 2.4332e+18
62800 1 4.63912 1.46088e-11 2.42614e+18
63000 1 10.4962 1.09566e-11 2.42931e+18
63200 1 40.2774 1.46088e-11 2.44827e+18
63400 1 48.9207 1.46088e-11 2.48154e+18
63600 1 43.1679 1.46088e-11 2.52063e+18
63800 1 26.3737 1.46088e-11 2.5565e+18
64000 1 11.7686 1.46088e-11 2.58405e+18
64200 1 10.9819 1.46088e-11 2.58297e+18
64400 1 21.2212 1.46088e-11 2.56789e+18
64600 1 23.4709 1.46088e-11 2.54913e+18
64800 1 24.9552 1.46088e-11 2.52842e+18
65000 1 27.6202 1.09566e-11 2.50719e+18
65200 1 26.1659 7.30438e-12 2.48707e+18
65400 1 25.8986 7.30438e-12 2.46823e+18
65600 1 26.8978 7.30438e-12 2.44969e+18
65800 1 20.3348 7.30438e-12 2.43192e+18
66000 1 10.5492 7.30438e-12 2.41446e+18
66200 1 0.377801 7.30438e-12 2.39956e+18
66400 1 11.7297 1.09566e-11 2.38961e+18
66600 1 21.6002 1.09566e-11 2.38518e+18
66800 1 36.8256 7.30438e-12 2.39162e+18
67000 1 45.3839 1.09566e-11 2.4071e+18
