# step lid M_Sigma Con_maxDiv C2
36800 1 68.3193 7.27596e-12 6.95993e+17
37000 1 67.7156 7.27596e-12 7.14469e+17
37200 1 63.2408 7.27596e-12 7.32819e+17
37400 1 56.8536 7.27596e-12 7.51336e+17
37600 1 53.5193 7.27596e-12 7.7007e+17
37800 1 45.9024 7.27596e-12 7.88761e+17
38000 1 31.5824 7.27596e-12 8.07376e+17
38200 1 9.27275 7.27596e-12 8.25426e+17
38400 1 8.12715 7.27596e-12 8.36009e+17
38600 1 20.9564 7.27596e-12 8.35101e+17
38800 1 38.2712 7.27596e-12 8.22917e+17
39000 1 30.2268 3.63798e-12 8.09846e+17
39200 1 10.7523 3.63798e-12 8.00995e+17
39400 1 18.6018 3.63798e-12 7.98766e+17
39600 1 49.0027 3.63798e-12 8.06851e+17
39800 1 61.0178 3.63798e-12 8.20503e+17
40000 1 67.3809 3.63798e-12 8.39119e+17
40200 1 65.9061 7.27596e-12 8.59129e+17
40400 1 68.6499 7.27596e-12 8.81774e+17
40600 1 65.7633 7.27596e-12 9.04816e+17
40800 1 61.2359 7.27596e-12 9.28105e+17
41000 1 51.2363 7.27596e-12 9.51226e+17
41200 1 44.6252 7.27596e-12 9.74162e+17
41400 1 37.4359 7.27596e-12 9.96775e+17
41600 1 25.2952 7.27596e-12 1.01908e+18
41800 1 8.70938 7.27596e-12 1.04016e+18
42000 1 2.67104 7.27596e-12 1.05645e+18
42200 1 12.8758 7.27596e-12 1.06004e+18
42400 1 23.0066 7.27596e-12 1.05092e+18
42600 1 20.8962 7.27596e-12 1.03489e+18
42800 1 9.78615 7.27596e-12 1.02307e+18
43000 1 32.6024 3.63798e-12 1.02151e+18
43200 1 51.6325 7.27596e-12 1.03574e+18
43400 1 57.603 7.27596e-12 1.06113e+18
43600 1 50.6196 7.27596e-12 1.08862e+18
43800 1 32.3131 7.27596e-12 1.1155e+18
44000 1 25.583 7.27596e-12 1.14123e+18
44200 1 22.8924 7.27596e-12 1.16519e+18
44400 1 23.9206 7.27596e-12 1.1856e+18
44600 1 19.9059 7.27596e-12 1.2017e+18
44800 1 11.3844 7.27596e-12 1.20814e+18
45000 1 4.43161 7.27596e-12 1.20952e+18
45200 1 13.6162 7.27596e-12 1.21563e+18
45400 1 14.2709 7.27596e-12 1.22243e+18
45600 1 14.0236 7.27596e-12 1.22878e+18
45800 1 19.0366 7.27596e-12 1.23836e+18
46000 1 18.0352 7.27596e-12 1.24695e+18
46200 1 19.3906 7.27596e-12 1.25662e+18
46400 1 19.7749 7.27596e-12 1.26682e+18
46600 1 20.0341 7.27596e-12 1.27677e+18
46800 1 21.4932 7.27596e-12 1.28729e+18
47000 1 21.6659 7.27596e-12 1.29897e+18
47200 1 19.7146 7.27596e-12 1.30877e+18
47400 1 19.6875 7.27596e-12 1.31845e+18
47600 1 20.4119 7.27596e-12 1.32906e+18
47800 1 17.946 7.27596e-12 1.33866e+18
48000 1 19.9809 7.27596e-12 1.34873e+18
48200 1 19.3325 7.27596e-12 1.35847e+18
48400 1 18.6069 7.27596e-12 1.3688e+18
48600 1 21.5449 7.27596e-12 1.3796e+18
48800 1 20.8304 7.27596e-12 1.39025e+18
49000 1 19.1772 7.27596e-12 1.40106e+18
49200 1 19.3521 7.27596e-12 1.41056e+18
49400 1 20.5425 7.27596e-12 1.4208e+18
49600 1 15.6903 7.27596e-12 1.43021e+18
49800 1 20.5889 7.27596e-12 1.44017e+18
50000 1 20.1847 7.27596e-12 1.44993e+18
50200 1 16.2268 7.27596e-12 1.46104e+18
50400 1 17.0031 7.27596e-12 1.47104e+18
50600 1 20.4513 7.27596e-12 1.47984e+18
50800 1 23.0162 7.27596e-12 1.49041e+18
51000 1 26.5607 7.27596e-12 1.50182e+18
51200 1 25.7774 7.27596e-12 1.51539e+18
51400 1 14.5417 7.27596e-12 1.52825e+18
51600 1 6.09755 7.27596e-12 1.5389e+18
51800 1 28.4051 7.27596e-12 1.52315e+18
52000 1 16.9362 7.27596e-12 1.50568e+18
52200 1 0.334588 7.27596e-12 1.48988e+18
52400 1 25.7135 7.27596e-12 1.48979e+18
52600 1 50.955 7.27596e-12 1.5143e+18
52800 1 61.8756 7.27596e-12 1.54431e+18
53000 1 69.8512 7.27596e-12 1.57583e+18
53200 1 67.223 7.27596e-12 1.60733e+18
53400 1 64.9797 7.27596e-12 1.63972e+18
53600 1 61.8306 7.27596e-12 1.67282e+18
53800 1 57.5022 7.27596e-12 1.70545e+18
54000 1 48.2254 7.27596e-12 1.73857e+18
54200 1 42.6127 7.27596e-12 1.77095e+18
54400 1 38.6905 7.27596e-12 1.80311e+18
54600 1 39.697 7.27596e-12 1.8345e+18
54800 1 44.5856 7.27596e-12 1.86565e+18
55000 1 44.5922 7.27596e-12 1.89559e+18
55200 1 38.8847 7.27596e-12 1.9249e+18
